Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 03/01/2000 / Data final: 04/01/2010.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
06/10/2009;8,65;1,00032927;214.167.022.732,76;1248;8,64;8,65;8,65;0,091;143,052;
05/10/2009;8,65;1,00032927;231.616.081.294,51;1185;8,65;8,65;8,65;0,085;163,584;
02/10/2009;8,65;1,00032927;223.684.664.450,77;1244;8,64;8,65;8,65;0,089;137,346;
01/10/2009;8,65;1,00032927;224.040.862.904,55;1246;8,64;8,65;8,65;0,09;135,459;
30/09/2009;8,65;1,00032927;168.273.821.786,38;1410;8,64;8,65;8,65;0,102;98,42;
29/09/2009;8,65;1,00032927;166.504.261.388,97;1277;8,64;8,65;8,65;0,099;116,656;
28/09/2009;8,65;1,00032927;159.625.478.731,51;1298;8,64;8,65;8,65;0,092;134,797;
25/09/2009;8,65;1,00032927;177.505.286.698,46;1259;8,64;8,65;8,65;0,09;139,502;
24/09/2009;8,65;1,00032927;172.916.910.828,97;1250;8,64;8,65;8,65;0,096;118,074;
23/09/2009;8,65;1,00032927;176.837.485.826,95;1254;8,64;8,65;8,65;0,088;153,285;
22/09/2009;8,65;1,00032927;163.641.940.843,88;1375;8,64;8,65;8,65;0,101;105,388;
21/09/2009;8,65;1,00032927;175.085.540.793,16;1295;8,64;8,65;8,65;0,086;158,599;
18/09/2009;8,65;1,00032927;209.610.311.774,91;1251;8,65;8,65;8,65;0,076;197,894;
17/09/2009;8,65;1,00032927;214.972.075.354,61;1237;8,65;8,65;8,65;0,081;183,839;
16/09/2009;8,65;1,00032927;209.841.973.255,38;1234;8,64;8,65;8,65;0,086;161,974;
15/09/2009;8,65;1,00032927;161.322.959.545,48;1295;8,64;8,65;8,65;0,107;104,929;
14/09/2009;8,65;1,00032927;166.957.419.190,46;1232;8,64;8,65;8,65;0,1;127,411;
11/09/2009;8,65;1,00032927;178.222.688.822,68;1232;8,64;8,65;8,65;0,101;116,001;
10/09/2009;8,65;1,00032927;176.760.158.803,2;1222;8,64;8,65;8,65;0,091;144,525;
09/09/2009;8,65;1,00032927;170.499.435.383,95;1251;8,64;8,65;8,65;0,099;120,961;
