Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 04/01/2010 / Data final: 02/01/2020.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
19/11/2019;4,9;1,00018985;412.180.881.563,6;712;4,9;4,89;4,9;0,023;304,413;
18/11/2019;4,9;1,00018985;454.800.866.090,09;920;4,9;4,89;4,9;0,021;429,601;
14/11/2019;4,9;1,00018985;454.609.681.399,04;918;4,89;4,89;4,9;0,062;145,557;
13/11/2019;4,9;1,00018985;459.092.049.661,49;868;4,9;4,89;4,9;0,021;247,44;
12/11/2019;4,9;1,00018985;459.418.649.491,45;913;4,9;4,89;4,9;0,02;258,714;
11/11/2019;4,9;1,00018985;451.204.626.872,81;894;4,9;4,89;4,9;0,021;359,29;
08/11/2019;4,9;1,00018985;443.117.485.326,62;944;4,9;4,89;4,9;0,021;357,11;
07/11/2019;4,9;1,00018985;443.657.794.654,65;901;4,9;4,89;4,9;0,023;410,574;
06/11/2019;4,9;1,00018985;415.682.069.921,52;882;4,9;4,89;4,9;0,028;289,292;
05/11/2019;4,9;1,00018985;423.466.431.496,95;902;4,9;4,89;4,9;0,022;202,365;
04/11/2019;4,9;1,00018985;416.493.272.477,38;900;4,89;4,89;4,9;0,043;210,159;
01/11/2019;4,9;1,00018985;398.979.023.438,04;880;4,9;4,89;4,9;0,028;265,03;
31/10/2019;4,9;1,00018985;409.076.964.569,68;894;4,9;4,89;4,9;0,035;183,452;
30/10/2019;5,4;1,00020872;343.072.929.149,8;890;5,39;5,39;5,4;0,062;133,192;
29/10/2019;5,4;1,00020872;338.442.668.116,66;855;5,4;5,39;5,4;0,03;222,682;
28/10/2019;5,4;1,00020872;340.681.491.079,22;871;5,39;5,39;5,4;0,038;175,265;
25/10/2019;5,4;1,00020872;355.690.129.154,16;902;5,4;5,39;5,4;0,023;386,215;
24/10/2019;5,4;1,00020872;375.512.965.377,17;893;5,4;5,39;5,4;0,022;354,803;
23/10/2019;5,4;1,00020872;380.802.828.599,19;907;5,39;5,39;5,4;0,032;238,498;
22/10/2019;5,4;1,00020872;392.850.685.941,58;903;5,39;5,39;5,4;0,067;120,478;
21/10/2019;5,4;1,00020872;400.643.438.197,91;920;5,4;5,39;5,4;0,025;390,26;
18/10/2019;5,4;1,00020872;429.273.905.269,94;911;5,4;5,39;5,4;0,028;419,15;
17/10/2019;5,4;1,00020872;458.447.924.696,67;904;5,4;5,39;5,4;0,031;325,942;
16/10/2019;5,4;1,00020872;448.972.079.697,24;885;5,4;5,39;5,4;0,026;237,756;
15/10/2019;5,4;1,00020872;437.862.034.130,37;921;5,4;5,39;5,4;0,025;296,999;
14/10/2019;5,4;1,00020872;446.575.445.081,3;906;5,4;5,39;5,4;0,038;367,887;
11/10/2019;5,4;1,00020872;442.515.478.775,14;910;5,4;5,39;5,4;0,027;428,507;
10/10/2019;5,4;1,00020872;460.459.835.623,82;898;5,4;5,39;5,4;0,023;395,393;
09/10/2019;5,4;1,00020872;451.134.358.319,08;874;5,4;5,39;5,4;0,023;576,24;
08/10/2019;5,4;1,00020872;443.695.918.184,32;864;5,4;5,39;5,4;0,021;167,355;
07/10/2019;5,4;1,00020872;444.230.655.646,99;897;5,4;5,39;5,4;0,021;505,307;
04/10/2019;5,4;1,00020872;434.491.148.968,17;901;5,4;5,39;5,4;0,034;408,02;
03/10/2019;5,4;1,00020872;468.788.759.334,43;871;5,4;5,39;5,4;0,019;551,391;
02/10/2019;5,4;1,00020872;467.338.926.965,99;859;5,4;5,39;5,4;0,019;240,483;
01/10/2019;5,4;1,00020872;458.107.352.847,22;906;5,4;5,39;5,4;0,02;319,061;
30/09/2019;5,4;1,00020872;319.721.465.554,55;941;5,4;5,39;5,4;0,041;242,792;
27/09/2019;5,4;1,00020872;323.491.371.858,06;912;5,4;5,39;5,4;0,031;316,889;
26/09/2019;5,4;1,00020872;336.173.141.255,25;896;5,4;5,39;5,4;0,024;278,244;
25/09/2019;5,4;1,00020872;343.330.116.055,63;893;5,4;5,39;5,4;0,023;301,568;
24/09/2019;5,4;1,00020872;349.366.348.556,73;895;5,4;5,39;5,4;0,025;257,855;
23/09/2019;5,4;1,00020872;362.428.587.983,31;889;5,4;5,39;5,4;0,026;462,71;
20/09/2019;5,4;1,00020872;378.740.598.806,61;888;5,4;5,39;5,4;0,067;111,256;
19/09/2019;5,4;1,00020872;407.195.325.062,66;878;5,4;5,39;5,4;0,036;160,008;
18/09/2019;5,9;1,00022751;450.956.081.046,62;843;5,9;5,89;5,9;0,035;254,294;
17/09/2019;5,9;1,00022751;457.797.782.462,68;819;5,89;5,89;5,9;0,048;196,639;
16/09/2019;5,9;1,00022751;452.623.724.451,48;854;5,89;5,89;5,9;0,156;361,832;
13/09/2019;5,9;1,00022751;448.088.028.445,86;885;5,9;5,89;5,9;0,021;371,972;
12/09/2019;5,9;1,00022751;462.128.917.240,96;865;5,9;5,89;5,9;0,021;395,239;
11/09/2019;5,9;1,00022751;478.451.758.881,66;858;5,9;5,89;5,9;0,02;250,483;
10/09/2019;5,9;1,00022751;470.140.068.510,76;880;5,9;5,89;5,9;0,021;415,637;
09/09/2019;5,9;1,00022751;481.149.215.173,86;893;5,9;5,89;5,9;0,018;413,461;
06/09/2019;5,9;1,00022751;469.748.258.741,7;915;5,9;5,89;5,9;0,021;273,942;
05/09/2019;5,9;1,00022751;508.753.667.933,31;869;5,9;5,89;5,9;0,018;431,427;
04/09/2019;5,9;1,00022751;519.838.001.868,86;861;5,9;5,89;5,9;0,024;335,689;
03/09/2019;5,9;1,00022751;510.121.804.520,31;869;5,9;5,89;5,9;0,019;201,994;
02/09/2019;5,9;1,00022751;488.297.297.055,7;866;5,9;5,89;5,9;0,025;525,938;
30/08/2019;5,9;1,00022751;463.938.390.748,13;872;5,9;5,89;5,9;0,02;356,272;
29/08/2019;5,9;1,00022751;479.486.886.467,12;867;5,9;5,89;5,9;0,018;298,486;
28/08/2019;5,9;1,00022751;477.643.477.181,9;871;5,9;5,89;5,9;0,019;308,272;
27/08/2019;5,9;1,00022751;486.731.545.339,35;893;5,9;5,89;5,9;0,019;302,381;
26/08/2019;5,9;1,00022751;486.020.850.852,02;884;5,9;5,89;5,9;0,02;379,905;
23/08/2019;5,9;1,00022751;492.053.631.125,18;928;5,9;5,89;5,9;0,024;311,379;
