Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 02/01/2020 / Data final: 14/02/2025.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
14/02/2025;13,15;1,00049037;1.424.917.035.446,69;882;13,15;13,14;13,15;0,037;3.738,523;
13/02/2025;13,15;1,00049037;1.455.766.218.652,54;882;13,15;13,14;13,15;0,039;3.533,184;
12/02/2025;13,15;1,00049037;1.436.891.976.758,47;883;13,15;13,14;13,15;0,041;3.223,681;
11/02/2025;13,15;1,00049037;1.443.713.354.139,21;858;13,15;13,14;13,15;0,042;3.025,33;
10/02/2025;13,15;1,00049037;1.450.995.570.819,35;899;13,15;13,14;13,15;0,041;3.202,74;
07/02/2025;13,15;1,00049037;1.433.937.504.730,89;895;13,15;13,14;13,15;0,034;4.219,485;
06/02/2025;13,15;1,00049037;1.429.520.063.949,62;890;13,15;13,14;13,15;0,026;4.760,96;
05/02/2025;13,15;1,00049037;1.430.856.427.770,7;878;13,15;13,14;13,15;0,019;704,108;
04/02/2025;13,15;1,00049037;1.455.020.308.857,54;925;13,15;13,14;13,15;0,019;701,824;
03/02/2025;13,15;1,00049037;1.447.714.264.663,33;928;13,15;13,14;13,15;0,035;649,243;
31/01/2025;13,15;1,00049037;1.451.402.221.147,39;833;13,15;13,14;13,15;0,022;3.523,094;
30/01/2025;13,15;1,00049037;1.516.300.611.360,2;888;13,15;13,14;13,15;0,036;691,018;
29/01/2025;12,15;1,00045513;1.504.741.052.835,19;848;12,15;12,14;12,15;0,018;578,514;
28/01/2025;12,15;1,00045513;1.503.685.885.498,42;790;12,15;12,14;12,15;0,018;613,285;
27/01/2025;12,15;1,00045513;1.477.157.576.990,94;851;12,15;12,14;12,15;0,018;604,316;
24/01/2025;12,15;1,00045513;1.522.162.442.517,8;892;12,15;12,14;12,15;0,026;4.777,609;
23/01/2025;12,15;1,00045513;1.541.740.667.747,99;855;12,15;12,14;12,15;0,028;4.380,312;
22/01/2025;12,15;1,00045513;1.566.506.872.998,24;872;12,15;12,14;12,15;0,028;4.548,538;
